Package ID,Package Name,Country,Cities Covered,Duration,Hotel Category,Meals,Transportation,Major Attractions,Activities,Package Type,Best For,Rating,Estimated Cost 
IND0001,Delhi Explorer Package,India,Delhi,3 Days / 2 Nights,5-Star,Breakfast,AC Coach,"India Gate, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",War Memorial,Historical,4.6,14999
IND0002,Delhi Explorer Package,India,Delhi,4 Days / 3 Nights,3-Star,Breakfast + Lunch + Dinner,Train + Cab,"Humayun's Tomb, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Tomb,Historical,4.5,18999
IND0003,Delhi Explorer Package,India,Delhi,3 Days / 2 Nights,3-Star,Breakfast,AC Coach,"Akshardham Temple, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Temple,Religious,4.6,14999
IND0004,Delhi Explorer Package,India,Delhi,7 Days / 6 Nights,4-Star,Breakfast + Lunch + Dinner,Train + Cab,"Waste to Wonder Park, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Theme Park,Environmental,4.1,35999
IND0005,Delhi Explorer Package,India,Delhi,4 Days / 3 Nights,5-Star,Breakfast,AC Coach,"Jantar Mantar, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Observatory,Scientific,4.2,24999
IND0006,Delhi Explorer Package,India,Delhi,6 Days / 5 Nights,5-Star,Breakfast,AC Coach,"Chandni Chowk, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Market,Market,4.2,33999
IND0007,Delhi Explorer Package,India,Delhi,5 Days / 4 Nights,3-Star,Breakfast + Dinner,Private Cab,"Lotus Temple, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Temple,Religious,4.5,24999
IND0008,Delhi Explorer Package,India,Delhi,5 Days / 4 Nights,5-Star,Breakfast,Train + Cab,"Red Fort, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Fort,Historical,4.5,28999
IND0009,Delhi Explorer Package,India,Delhi,7 Days / 6 Nights,Luxury Heritage,Breakfast,Flight + Cab,"Agrasen ki Baoli, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Stepwell,Historical,4.2,35999
IND0010,Delhi Explorer Package,India,Delhi,7 Days / 6 Nights,4-Star,Breakfast + Lunch + Dinner,Private Cab,"Sunder Nursery, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Park,Botanical,4.6,39999
IND0011,Delhi Explorer Package,India,Delhi,3 Days / 2 Nights,5-Star,Breakfast,AC Coach,"Garden of Five Senses, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Park,Botanical,4.1,16999
