package_id,package_name,country,cities_covered,duration,hotel_category,meals,transportation,major_attractions,activities,package_type,best_for,rating,estimated_cost,unnamed:_14,budget_category,duration_category,package_profile
AUS001,australia budget explorer,australia,sydney melbourne,8,3star hotel,breakfast,airport transfer domestic flight shared coach,sydney opera house harbour bridge bondi beach blue mountains great ocean road twelve apostles,city tour beach visit shopping,budget,students solo travelers,4.4,110000,,luxury,vacation,australia australia australia australia city tour beach visit shopping city tour beach visit shopping city tour beach visit shopping city tour beach visit shopping sydney melbourne sydney melbourne sydney melbourne budget budget budget students solo travelers students solo travelers students solo travelers sydney opera house harbour bridge bondi beach blue mountains great ocean road twelve apostles sydney opera house harbour bridge bondi beach blue mountains great ocean road twelve apostles 3star hotel 3star hotel luxury luxury vacation vacation airport transfer domestic flight shared coach breakfast
AUS002,australia family holiday,australia,sydney gold coast,9,4star hotel,breakfast dinner,private transfers,sydney opera house sea world movie world dreamworld harbour cruise,theme parks wildlife park family activities,family,families,4.7,155000,,luxury,vacation,australia australia australia australia theme parks wildlife park family activities theme parks wildlife park family activities theme parks wildlife park family activities theme parks wildlife park family activities sydney gold coast sydney gold coast sydney gold coast family family family families families families sydney opera house sea world movie world dreamworld harbour cruise sydney opera house sea world movie world dreamworld harbour cruise 4star hotel 4star hotel luxury luxury vacation vacation private transfers breakfast dinner
AUS003,australia honeymoon escape,australia,sydney hamilton island,8,5star resort,breakfast romantic dinner,private luxury transfers,whitehaven beach sydney harbour hamilton island,sunset cruise couples spa helicopter ride,honeymoon,couples,4.9,240000,,luxury,vacation,australia australia australia australia sunset cruise couples spa helicopter ride sunset cruise couples spa helicopter ride sunset cruise couples spa helicopter ride sunset cruise couples spa helicopter ride sydney hamilton island sydney hamilton island sydney hamilton island honeymoon honeymoon honeymoon couples couples couples whitehaven beach sydney harbour hamilton island whitehaven beach sydney harbour hamilton island 5star resort 5star resort luxury luxury vacation vacation private luxury transfers breakfast romantic dinner
AUS004,australia adventure expedition,australia,cairns gold coast,10,4star hotel,breakfast,domestic flights,great barrier reef daintree rainforest gold coast,scuba diving skydiving bungee jumping atv ride jet boat ride,adventure,adventure lovers,4.8,195000,,luxury,vacation,australia australia australia australia scuba diving skydiving bungee jumping atv ride jet boat ride scuba diving skydiving bungee jumping atv ride jet boat ride scuba diving skydiving bungee jumping atv ride jet boat ride scuba diving skydiving bungee jumping atv ride jet boat ride cairns gold coast cairns gold coast cairns gold coast adventure adventure adventure adventure lovers adventure lovers adventure lovers great barrier reef daintree rainforest gold coast great barrier reef daintree rainforest gold coast 4star hotel 4star hotel luxury luxury vacation vacation domestic flights breakfast
AUS005,australia luxury escape,australia,sydney melbourne cairns,12,5star luxury hotel,all meals,business class flights private transfers,great barrier reef sydney opera house melbourne cbd,private yacht helicopter tour fine dining luxury shopping,luxury,premium travelers,5.0,410000,,luxury,long_trip,australia australia australia australia private yacht helicopter tour fine dining luxury shopping private yacht helicopter tour fine dining luxury shopping private yacht helicopter tour fine dining luxury shopping private yacht helicopter tour fine dining luxury shopping sydney melbourne cairns sydney melbourne cairns sydney melbourne cairns luxury luxury luxury premium travelers premium travelers premium travelers great barrier reef sydney opera house melbourne cbd great barrier reef sydney opera house melbourne cbd 5star luxury hotel 5star luxury hotel luxury luxury long_trip long_trip business class flights private transfers all meals
AUS006,australia cultural heritage tour,australia,sydney canberra,8,4star hotel,breakfast,private coach,parliament house national museum australian war memorial aboriginal cultural centre,museum tour cultural walks,cultural,history enthusiasts,4.6,135000,,luxury,vacation,australia australia australia australia museum tour cultural walks museum tour cultural walks museum tour cultural walks museum tour cultural walks sydney canberra sydney canberra sydney canberra cultural cultural cultural history enthusiasts history enthusiasts history enthusiasts parliament house national museum australian war memorial aboriginal cultural centre parliament house national museum australian war memorial aboriginal cultural centre 4star hotel 4star hotel luxury luxury vacation vacation private coach breakfast
AUS007,australia nature explorer,australia,cairns tasmania,9,4star eco resort,breakfast,domestic flights,great barrier reef daintree rainforest cradle mountain national park,hiking wildlife safari penguin watching,nature wildlife,nature lovers,4.8,185000,,luxury,vacation,australia australia australia australia hiking wildlife safari penguin watching hiking wildlife safari penguin watching hiking wildlife safari penguin watching hiking wildlife safari penguin watching cairns tasmania cairns tasmania cairns tasmania nature wildlife nature wildlife nature wildlife nature lovers nature lovers nature lovers great barrier reef daintree rainforest cradle mountain national park great barrier reef daintree rainforest cradle mountain national park 4star eco resort 4star eco resort luxury luxury vacation vacation domestic flights breakfast
AUS008,ultimate australia grand tour,australia,sydney melbourne gold coast cairns canberra,15,5star hotel,breakfast dinner,domestic flights luxury coach,sydney opera house bondi beach blue mountains great ocean road great barrier reef parliament house,city tours cruises shopping wildlife encounters adventure activities,grand tour,all travelers,5.0,475000,,luxury,long_trip,australia australia australia australia city tours cruises shopping wildlife encounters adventure activities city tours cruises shopping wildlife encounters adventure activities city tours cruises shopping wildlife encounters adventure activities city tours cruises shopping wildlife encounters adventure activities sydney melbourne gold coast cairns canberra sydney melbourne gold coast cairns canberra sydney melbourne gold coast cairns canberra grand tour grand tour grand tour all travelers all travelers all travelers sydney opera house bondi beach blue mountains great ocean road great barrier reef parliament house sydney opera house bondi beach blue mountains great ocean road great barrier reef parliament house 5star hotel 5star hotel luxury luxury long_trip long_trip domestic flights luxury coach breakfast dinner
BRA001,brazil budget explorer,brazil,rio de janeiro so paulo,8,3star hotel,breakfast,airport transfers domestic flight shared coach,christ the redeemer copacabana beach sugarloaf mountain paulista avenue,beach walks city tour shopping,budget,students solo travelers,4.4,115000,,luxury,vacation,brazil brazil brazil brazil beach walks city tour shopping beach walks city tour shopping beach walks city tour shopping beach walks city tour shopping rio de janeiro so paulo rio de janeiro so paulo rio de janeiro so paulo budget budget budget students solo travelers students solo travelers students solo travelers christ the redeemer copacabana beach sugarloaf mountain paulista avenue christ the redeemer copacabana beach sugarloaf mountain paulista avenue 3star hotel 3star hotel luxury luxury vacation vacation airport transfers domestic flight shared coach breakfast
BRA002,brazil family adventure,brazil,rio de janeiro iguazu falls,9,4star hotel,breakfast dinner,private transfers domestic flight,christ the redeemer sugarloaf mountain iguazu falls national park,boat ride wildlife safari family excursions,family,families,4.7,165000,,luxury,vacation,brazil brazil brazil brazil boat ride wildlife safari family excursions boat ride wildlife safari family excursions boat ride wildlife safari family excursions boat ride wildlife safari family excursions rio de janeiro iguazu falls rio de janeiro iguazu falls rio de janeiro iguazu falls family family family families families families christ the redeemer sugarloaf mountain iguazu falls national park christ the redeemer sugarloaf mountain iguazu falls national park 4star hotel 4star hotel luxury luxury vacation vacation private transfers domestic flight breakfast dinner
BRA003,brazil romantic escape,brazil,rio de janeiro bzios,8,5star beach resort,breakfast romantic dinner,private luxury transfers,copacabana beach sugarloaf mountain ferradura beach,sunset cruise spa beach relaxation,honeymoon,couples,4.9,245000,,luxury,vacation,brazil brazil brazil brazil sunset cruise spa beach relaxation sunset cruise spa beach relaxation sunset cruise spa beach relaxation sunset cruise spa beach relaxation rio de janeiro bzios rio de janeiro bzios rio de janeiro bzios honeymoon honeymoon honeymoon couples couples couples copacabana beach sugarloaf mountain ferradura beach copacabana beach sugarloaf mountain ferradura beach 5star beach resort 5star beach resort luxury luxury vacation vacation private luxury transfers breakfast romantic dinner
BRA004,brazil adventure expedition,brazil,manaus amazon rainforest,10,jungle lodge,breakfast lunch dinner,domestic flights river boat,amazon rainforest meeting of waters anavilhanas archipelago,jungle trekking canoeing wildlife safari fishing,adventure,adventure lovers,4.8,215000,,luxury,vacation,brazil brazil brazil brazil jungle trekking canoeing wildlife safari fishing jungle trekking canoeing wildlife safari fishing jungle trekking canoeing wildlife safari fishing jungle trekking canoeing wildlife safari fishing manaus amazon rainforest manaus amazon rainforest manaus amazon rainforest adventure adventure adventure adventure lovers adventure lovers adventure lovers amazon rainforest meeting of waters anavilhanas archipelago amazon rainforest meeting of waters anavilhanas archipelago jungle lodge jungle lodge luxury luxury vacation vacation domestic flights river boat breakfast lunch dinner
BRA005,brazil luxury escape,brazil,rio de janeiro so paulo fernando de noronha,12,5star luxury hotels,all meals,business class flights private transfers,christ the redeemer sugarloaf mountain fernando de noronha beaches,private yacht helicopter tour fine dining,luxury,premium travelers,5.0,425000,,luxury,long_trip,brazil brazil brazil brazil private yacht helicopter tour fine dining private yacht helicopter tour fine dining private yacht helicopter tour fine dining private yacht helicopter tour fine dining rio de janeiro so paulo fernando de noronha rio de janeiro so paulo fernando de noronha rio de janeiro so paulo fernando de noronha luxury luxury luxury premium travelers premium travelers premium travelers christ the redeemer sugarloaf mountain fernando de noronha beaches christ the redeemer sugarloaf mountain fernando de noronha beaches 5star luxury hotels 5star luxury hotels luxury luxury long_trip long_trip business class flights private transfers all meals
BRA006,brazil cultural heritage tour,brazil,salvador rio de janeiro,8,4star hotel,breakfast,private coach,pelourinho historic centre lacerda elevator christ the redeemer,cultural walks museum visits samba show,cultural,history enthusiasts,4.6,145000,,luxury,vacation,brazil brazil brazil brazil cultural walks museum visits samba show cultural walks museum visits samba show cultural walks museum visits samba show cultural walks museum visits samba show salvador rio de janeiro salvador rio de janeiro salvador rio de janeiro cultural cultural cultural history enthusiasts history enthusiasts history enthusiasts pelourinho historic centre lacerda elevator christ the redeemer pelourinho historic centre lacerda elevator christ the redeemer 4star hotel 4star hotel luxury luxury vacation vacation private coach breakfast
BRA007,brazil nature wildlife explorer,brazil,pantanal bonito,9,eco lodge,breakfast dinner,domestic flights shared transfers,pantanal wetlands blue lake cave rio da prata,bird watching snorkeling wildlife safari nature trails,nature wildlife,nature lovers,4.8,195000,,luxury,vacation,brazil brazil brazil brazil bird watching snorkeling wildlife safari nature trails bird watching snorkeling wildlife safari nature trails bird watching snorkeling wildlife safari nature trails bird watching snorkeling wildlife safari nature trails pantanal bonito pantanal bonito pantanal bonito nature wildlife nature wildlife nature wildlife nature lovers nature lovers nature lovers pantanal wetlands blue lake cave rio da prata pantanal wetlands blue lake cave rio da prata eco lodge eco lodge luxury luxury vacation vacation domestic flights shared transfers breakfast dinner
BRA008,ultimate brazil grand tour,brazil,rio de janeiro so paulo iguazu falls salvador manaus,15,5star hotels,breakfast dinner,domestic flights luxury coach private transfers,christ the redeemer sugarloaf mountain copacabana beach iguazu falls amazon rainforest pelourinho,city tours jungle safari beach excursions cultural shows shopping,grand tour,all travelers,5.0,485000,,luxury,long_trip,brazil brazil brazil brazil city tours jungle safari beach excursions cultural shows shopping city tours jungle safari beach excursions cultural shows shopping city tours jungle safari beach excursions cultural shows shopping city tours jungle safari beach excursions cultural shows shopping rio de janeiro so paulo iguazu falls salvador manaus rio de janeiro so paulo iguazu falls salvador manaus rio de janeiro so paulo iguazu falls salvador manaus grand tour grand tour grand tour all travelers all travelers all travelers christ the redeemer sugarloaf mountain copacabana beach iguazu falls amazon rainforest pelourinho christ the redeemer sugarloaf mountain copacabana beach iguazu falls amazon rainforest pelourinho 5star hotels 5star hotels luxury luxury long_trip long_trip domestic flights luxury coach private transfers breakfast dinner
CAM001,cambodia budget explorer,cambodia,phnom penh siem reap,5,3star hotel,breakfast,airport transfers shared coach,angkor wat royal palace national museum pub street,temple tours local markets cultural walks,budget,students solo travelers,4.4,35000,,standard,short_trip,cambodia cambodia cambodia cambodia temple tours local markets cultural walks temple tours local markets cultural walks temple tours local markets cultural walks temple tours local markets cultural walks phnom penh siem reap phnom penh siem reap phnom penh siem reap budget budget budget students solo travelers students solo travelers students solo travelers angkor wat royal palace national museum pub street angkor wat royal palace national museum pub street 3star hotel 3star hotel standard standard short_trip short_trip airport transfers shared coach breakfast
CAM002,cambodia family discovery,cambodia,siem reap phnom penh,6,4star hotel,breakfast dinner,private transfers,angkor thom bayon temple royal palace tonl sap lake,family sightseeing boat cruise cultural shows,family,families,4.7,55000,,premium,short_trip,cambodia cambodia cambodia cambodia family sightseeing boat cruise cultural shows family sightseeing boat cruise cultural shows family sightseeing boat cruise cultural shows family sightseeing boat cruise cultural shows siem reap phnom penh siem reap phnom penh siem reap phnom penh family family family families families families angkor thom bayon temple royal palace tonl sap lake angkor thom bayon temple royal palace tonl sap lake 4star hotel 4star hotel premium premium short_trip short_trip private transfers breakfast dinner
CAM003,cambodia romantic escape,cambodia,siem reap koh rong,6,5star resort,breakfast romantic dinner,private transfers domestic flight,angkor wat koh rong beaches sunset point,beach relaxation spa sunset cruise,honeymoon,couples,4.9,95000,,premium,short_trip,cambodia cambodia cambodia cambodia beach relaxation spa sunset cruise beach relaxation spa sunset cruise beach relaxation spa sunset cruise beach relaxation spa sunset cruise siem reap koh rong siem reap koh rong siem reap koh rong honeymoon honeymoon honeymoon couples couples couples angkor wat koh rong beaches sunset point angkor wat koh rong beaches sunset point 5star resort 5star resort premium premium short_trip short_trip private transfers domestic flight breakfast romantic dinner
CAM004,cambodia adventure expedition,cambodia,mondulkiri siem reap,7,eco lodge,breakfast lunch,domestic transfers,mondulkiri forests elephant valley project angkor archaeological park,jungle trekking wildlife encounters hiking,adventure,adventure lovers,4.8,78000,,premium,vacation,cambodia cambodia cambodia cambodia jungle trekking wildlife encounters hiking jungle trekking wildlife encounters hiking jungle trekking wildlife encounters hiking jungle trekking wildlife encounters hiking mondulkiri siem reap mondulkiri siem reap mondulkiri siem reap adventure adventure adventure adventure lovers adventure lovers adventure lovers mondulkiri forests elephant valley project angkor archaeological park mondulkiri forests elephant valley project angkor archaeological park eco lodge eco lodge premium premium vacation vacation domestic transfers breakfast lunch
CAM005,cambodia luxury escape,cambodia,phnom penh siem reap koh rong,9,5star luxury resort,all meals,private luxury transfers domestic flight,angkor wat royal palace koh rong island,luxury spa private cruise fine dining,luxury,premium travelers,5.0,165000,,luxury,vacation,cambodia cambodia cambodia cambodia luxury spa private cruise fine dining luxury spa private cruise fine dining luxury spa private cruise fine dining luxury spa private cruise fine dining phnom penh siem reap koh rong phnom penh siem reap koh rong phnom penh siem reap koh rong luxury luxury luxury premium travelers premium travelers premium travelers angkor wat royal palace koh rong island angkor wat royal palace koh rong island 5star luxury resort 5star luxury resort luxury luxury vacation vacation private luxury transfers domestic flight all meals
CAM006,cambodia cultural heritage tour,cambodia,phnom penh siem reap,7,4star hotel,breakfast,private coach,angkor thom ta prohm royal palace national museum,heritage tours traditional dance show museum visits,cultural,history enthusiasts,4.8,68000,,premium,vacation,cambodia cambodia cambodia cambodia heritage tours traditional dance show museum visits heritage tours traditional dance show museum visits heritage tours traditional dance show museum visits heritage tours traditional dance show museum visits phnom penh siem reap phnom penh siem reap phnom penh siem reap cultural cultural cultural history enthusiasts history enthusiasts history enthusiasts angkor thom ta prohm royal palace national museum angkor thom ta prohm royal palace national museum 4star hotel 4star hotel premium premium vacation vacation private coach breakfast
