package_id,package_name,country,cities_covered,duration,hotel_category,meals,transportation,major_attractions,activities,package_type,best_for,rating,estimated_cost,unnamed:_14
AUS001,australia budget explorer,australia,sydney melbourne,8,3star hotel,breakfast,airport transfer domestic flight shared coach,sydney opera house harbour bridge bondi beach blue mountains great ocean road twelve apostles,city tour beach visit shopping,budget,students solo travelers,4.4,110000,
AUS002,australia family holiday,australia,sydney gold coast,9,4star hotel,breakfast dinner,private transfers,sydney opera house sea world movie world dreamworld harbour cruise,theme parks wildlife park family activities,family,families,4.7,155000,
AUS003,australia honeymoon escape,australia,sydney hamilton island,8,5star resort,breakfast romantic dinner,private luxury transfers,whitehaven beach sydney harbour hamilton island,sunset cruise couples spa helicopter ride,honeymoon,couples,4.9,240000,
AUS004,australia adventure expedition,australia,cairns gold coast,10,4star hotel,breakfast,domestic flights,great barrier reef daintree rainforest gold coast,scuba diving skydiving bungee jumping atv ride jet boat ride,adventure,adventure lovers,4.8,195000,
AUS005,australia luxury escape,australia,sydney melbourne cairns,12,5star luxury hotel,all meals,business class flights private transfers,great barrier reef sydney opera house melbourne cbd,private yacht helicopter tour fine dining luxury shopping,luxury,premium travelers,5.0,410000,
AUS006,australia cultural heritage tour,australia,sydney canberra,8,4star hotel,breakfast,private coach,parliament house national museum australian war memorial aboriginal cultural centre,museum tour cultural walks,cultural,history enthusiasts,4.6,135000,
AUS007,australia nature explorer,australia,cairns tasmania,9,4star eco resort,breakfast,domestic flights,great barrier reef daintree rainforest cradle mountain national park,hiking wildlife safari penguin watching,nature wildlife,nature lovers,4.8,185000,
AUS008,ultimate australia grand tour,australia,sydney melbourne gold coast cairns canberra,15,5star hotel,breakfast dinner,domestic flights luxury coach,sydney opera house bondi beach blue mountains great ocean road great barrier reef parliament house,city tours cruises shopping wildlife encounters adventure activities,grand tour,all travelers,5.0,475000,
BRA001,brazil budget explorer,brazil,rio de janeiro so paulo,8,3star hotel,breakfast,airport transfers domestic flight shared coach,christ the redeemer copacabana beach sugarloaf mountain paulista avenue,beach walks city tour shopping,budget,students solo travelers,4.4,115000,
BRA002,brazil family adventure,brazil,rio de janeiro iguazu falls,9,4star hotel,breakfast dinner,private transfers domestic flight,christ the redeemer sugarloaf mountain iguazu falls national park,boat ride wildlife safari family excursions,family,families,4.7,165000,
BRA003,brazil romantic escape,brazil,rio de janeiro bzios,8,5star beach resort,breakfast romantic dinner,private luxury transfers,copacabana beach sugarloaf mountain ferradura beach,sunset cruise spa beach relaxation,honeymoon,couples,4.9,245000,
BRA004,brazil adventure expedition,brazil,manaus amazon rainforest,10,jungle lodge,breakfast lunch dinner,domestic flights river boat,amazon rainforest meeting of waters anavilhanas archipelago,jungle trekking canoeing wildlife safari fishing,adventure,adventure lovers,4.8,215000,
BRA005,brazil luxury escape,brazil,rio de janeiro so paulo fernando de noronha,12,5star luxury hotels,all meals,business class flights private transfers,christ the redeemer sugarloaf mountain fernando de noronha beaches,private yacht helicopter tour fine dining,luxury,premium travelers,5.0,425000,
