Package ID,Package Name,Country,Cities Covered,Duration,Hotel Category,Meals,Transportation,Major Attractions,Activities,Package Type,Best For,Rating,Estimated Cost 
IND0001,Delhi Explorer Package,India,Delhi,3 Days / 2 Nights,5-Star,Breakfast,AC Coach,"India Gate, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Budget,"Students, Solo Travelers",4.6,11670
IND0002,Delhi Explorer Package,India,Delhi,4 Days / 3 Nights,3-Star,Breakfast + Lunch + Dinner,Train + Cab,"Humayun's Tomb, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Family,Families,4.5,30501
IND0003,Delhi Explorer Package,India,Delhi,3 Days / 2 Nights,3-Star,Breakfast,AC Coach,"Akshardham Temple, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Honeymoon,Couples,4.6,37395
IND0004,Delhi Explorer Package,India,Delhi,7 Days / 6 Nights,4-Star,Breakfast + Lunch + Dinner,Train + Cab,"Waste to Wonder Park, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Adventure,Adventure Lovers,4.1,46459
IND0005,Delhi Explorer Package,India,Delhi,4 Days / 3 Nights,5-Star,Breakfast,AC Coach,"Jantar Mantar, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Luxury,Premium Travelers,4.2,101831
IND0006,Delhi Explorer Package,India,Delhi,6 Days / 5 Nights,5-Star,Breakfast,AC Coach,"Chandni Chowk, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Cultural,History Enthusiasts,4.2,31545
IND0007,Delhi Explorer Package,India,Delhi,5 Days / 4 Nights,3-Star,Breakfast + Dinner,Private Cab,"Lotus Temple, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Nature & Wildlife,Nature Lovers,4.5,36821
IND0008,Delhi Explorer Package,India,Delhi,5 Days / 4 Nights,5-Star,Breakfast,Train + Cab,"Red Fort, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Grand Tour,All Travelers,4.5,114019
IND0009,Delhi Explorer Package,India,Delhi,7 Days / 6 Nights,Luxury Heritage,Breakfast,Flight + Cab,"Agrasen ki Baoli, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Budget,"Students, Solo Travelers",4.2,18582
IND0010,Delhi Explorer Package,India,Delhi,7 Days / 6 Nights,4-Star,Breakfast + Lunch + Dinner,Private Cab,"Sunder Nursery, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Family,Families,4.6,42257
IND0011,Delhi Explorer Package,India,Delhi,3 Days / 2 Nights,5-Star,Breakfast,AC Coach,"Garden of Five Senses, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Honeymoon,Couples,4.1,39132
IND0012,Delhi Explorer Package,India,Delhi,3 Days / 2 Nights,5-Star,Breakfast + Dinner,Flight + Cab,"Lodhi Garden, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Adventure,Adventure Lovers,4.5,30157
IND0013,Delhi Explorer Package,India,Delhi,4 Days / 3 Nights,5-Star,Breakfast,Flight + Cab,"National Gallery of Modern Art, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Luxury,Premium Travelers,4.5,100415
IND0014,Delhi Explorer Package,India,Delhi,3 Days / 2 Nights,4-Star,Breakfast,Train + Cab,"National Zoological Park, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Cultural,History Enthusiasts,4.1,21205
IND0015,Delhi Explorer Package,India,Delhi,6 Days / 5 Nights,4-Star,Breakfast + Lunch + Dinner,Flight + Cab,"Qutub Minar, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Nature & Wildlife,Nature Lovers,4.5,39610
