Package ID,Package Name,Country,Cities Covered,Duration,Hotel Category,Meals,Transportation,Major Attractions,Activities,Package Type,Best For,Rating,Estimated Cost
AUS001,Australia Budget Explorer,Australia,"Sydney, Melbourne",8D/7N,3-Star Hotel,Breakfast,"Airport Transfer, Domestic Flight, Shared Coach","Sydney Opera House, Harbour Bridge, Bondi Beach, Blue Mountains, Great Ocean Road, Twelve Apostles","City Tour, Beach Visit, Shopping",Budget,"Students, Solo Travelers",4.4,110000
AUS002,Australia Family Holiday,Australia,"Sydney, Gold Coast",9D/8N,4-Star Hotel,Breakfast + Dinner,Private Transfers,"Sydney Opera House, Sea World, Movie World, Dreamworld, Harbour Cruise","Theme Parks, Wildlife Park, Family Activities",Family,Families,4.7,155000
AUS003,Australia Honeymoon Escape,Australia,"Sydney, Hamilton Island",8D/7N,5-Star Resort,Breakfast + Romantic Dinner,Private Luxury Transfers,"Whitehaven Beach, Sydney Harbour, Hamilton Island","Sunset Cruise, Couples Spa, Helicopter Ride",Honeymoon,Couples,4.9,240000
AUS004,Australia Adventure Expedition,Australia,"Cairns, Gold Coast",10D/9N,4-Star Hotel,Breakfast,Domestic Flights,"Great Barrier Reef, Daintree Rainforest, Gold Coast","Scuba Diving, Skydiving, Bungee Jumping, ATV Ride, Jet Boat Ride",Adventure,Adventure Lovers,4.8,195000
AUS005,Australia Luxury Escape,Australia,"Sydney, Melbourne, Cairns",12D/11N,5-Star Luxury Hotel,All Meals,"Business Class Flights, Private Transfers","Great Barrier Reef, Sydney Opera House, Melbourne CBD","Private Yacht, Helicopter Tour, Fine Dining, Luxury Shopping",Luxury,Premium Travelers,5,410000
AUS006,Australia Cultural Heritage Tour,Australia,"Sydney, Canberra",8D/7N,4-Star Hotel,Breakfast,Private Coach,"Parliament House, National Museum, Australian War Memorial, Aboriginal Cultural Centre","Museum Tour, Cultural Walks",Cultural,History Enthusiasts,4.6,135000
AUS007,Australia Nature Explorer,Australia,"Cairns, Tasmania",9D/8N,4-Star Eco Resort,Breakfast,Domestic Flights,"Great Barrier Reef, Daintree Rainforest, Cradle Mountain National Park","Hiking, Wildlife Safari, Penguin Watching",Nature & Wildlife,Nature Lovers,4.8,185000
AUS008,Ultimate Australia Grand Tour,Australia,"Sydney, Melbourne, Gold Coast, Cairns, Canberra",15D/14N,5-Star Hotel,Breakfast + Dinner,"Domestic Flights, Luxury Coach","Sydney Opera House, Bondi Beach, Blue Mountains, Great Ocean Road, Great Barrier Reef, Parliament House","City Tours, Cruises, Shopping, Wildlife Encounters, Adventure Activities",Grand Tour,All Travelers,5,475000
BRA001,Brazil Budget Explorer,Brazil,"Rio de Janeiro, S?o Paulo",8D/7N,3-Star Hotel,Breakfast,"Airport Transfers, Domestic Flight, Shared Coach","Christ the Redeemer, Copacabana Beach, Sugarloaf Mountain, Paulista Avenue","Beach Walks, City Tour, Shopping",Budget,"Students, Solo Travelers",4.4,115000
BRA002,Brazil Family Adventure,Brazil,"Rio de Janeiro, Iguazu Falls",9D/8N,4-Star Hotel,Breakfast + Dinner,"Private Transfers, Domestic Flight","Christ the Redeemer, Sugarloaf Mountain, Iguazu Falls National Park","Boat Ride, Wildlife Safari, Family Excursions",Family,Families,4.7,165000
